max_cc cc_shift dlnA mstalta length start end center mode
 0.839616 -5.0  0.630992  0.009504   768   519  4361  2440 0
 0.933465 -8.0  0.516238  0.023251   407   519  2552  1535 0
 0.973802 -6.0  0.724793  0.023251   477   519  2905  1712 0
 0.825331 -4.0  0.627879  0.009504   927   519  5156  2837 0
 0.463527 -3264.0  0.107929  0.009504  1128   519  6160  3339 0
 0.426101 -3264.0  0.153747  0.009504  1217   519  6603  3561 0
 0.857652 -5.0  0.690562  0.009504   704   519  4041  2280 0
 0.920821 -6.0  0.754736  0.023251   506   519  3051  1785 0
 0.839113 -5.0  0.632216  0.009504   797   519  4503  2511 0
 0.461562 -3264.0  0.108711  0.009504  1112   519  6079  3299 0
 0.876056 -6.0  0.797186  0.009504   572   519  3377  1948 0
 0.817800 -4.0  0.627271  0.009504   959   519  5313  2916 0
 0.722733 -6.0  0.998450  0.023251   362   519  2330  1424 0
 0.655848 -5.0  1.279253  0.023251   340   519  2221  1370 0
 0.475733 -34.0  1.400643  0.023251   326   519  2148  1333 0
 0.433581 -3264.0  0.143964  0.009504  1197   519  6504  3511 0
 0.857652 -5.0  0.690562  0.009504   704   521  4041  2281 0
 0.868474 -5.0  0.804222  0.009504   594   521  3489  2005 0
 0.304645 -38.0  2.228624  0.023251   273   521  1884  1202 0
 0.839616 -5.0  0.630992  0.009504   768   521  4361  2441 0
 0.876056 -6.0  0.797186  0.009504   571   521  3377  1949 0
 0.831549 -4.0  0.626200  0.009504   892   521  4979  2750 0
 0.973802 -6.0  0.724793  0.023251   477   521  2905  1713 0
 0.933468 -8.0  0.516235  0.023251   406   521  2552  1536 0
 0.875257 -9.0  0.710867  0.023251   384   521  2443  1482 0
 0.920821 -6.0  0.754736  0.023251   506   521  3051  1786 0
 0.825331 -4.0  0.627879  0.009504   927   521  5156  2838 0
 0.831526 -4.0  0.624543  0.009504   869   521  4867  2694 0
 0.813181 -4.0  0.621452  0.009504   981   521  5425  2973 0
 0.722756 -6.0  0.998411  0.023251   362   521  2330  1425 0
 0.885996 -6.0  0.781606  0.023251   537   521  3204  1862 0
 0.414842 -3264.0  0.164393  0.009504  1259   521  6816  3668 0
 0.883007 -6.0  0.784531  0.013506   549   521  3267  1894 0
 0.789411 -4.0  0.598025  0.009504  1004   521  5541  3031 0
 0.277164 -4740.0  0.030741  0.009504  1396   521  7499  4010 0
 0.373470 -3264.0  0.160254  0.009504  1342   521  7233  3877 0
 0.475755 -34.0  1.400550  0.023251   325   521  2148  1334 0
 0.446538 -3264.0  0.121773  0.009504  1150   521  6271  3396 0
 0.461563 -3264.0  0.108711  0.009504  1112   521  6079  3300 0
 0.834348 -4.0  0.623055  0.009504   848   521  4763  2642 0
 0.817800 -4.0  0.627271  0.009504   958   521  5313  2917 0
 0.398785 -3264.0  0.167101  0.009504  1309   521  7065  3793 0
 0.334679  0.0  2.228495  0.023251   283   521  1938  1229 0
 0.463529 -3264.0  0.107929  0.009504  1128   521  6160  3340 0
 0.839113 -5.0  0.632216  0.009504   796   521  4503  2512 0
 0.439516 -3264.0  0.122574  0.009504  1175   521  6395  3458 0
 0.441155  0.0  1.766515  0.023251   306   521  2051  1286 0
 0.433582 -3264.0  0.143964  0.009504  1197   521  6504  3512 0
 0.655878 -5.0  1.279191  0.023251   340   521  2221  1371 0
 0.304791 -38.0  2.230065  0.023251   272   521  1882  1201 0
 0.426103 -3264.0  0.153747  0.009504  1216   521  6603  3562 0
 0.508270 -7.0  0.304289  0.009504  1055   521  5794  3157 0
 0.857108 -4.0  0.699223  0.009504   663   521  3837  2179 0
 0.277162 -4740.0  0.030740  0.009504  1395   523  7499  4011 0
