Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
TX,TREL,-96.08933,32.73039,Unavailable,TXHUB,,"Terrell, TX",174,2017-08-07,
TX,VHRN,-104.98515,30.7866,Unavailable,TXHUB,,"Van Horn, TX",1342,2017-02-01,
TX,WTFS,-98.46455,33.76622,Unavailable,TXHUB,,"Witchita Falls, TX",277,2016-12-15,
MG,JRQG,-100.446976,20.703686,Seismic Network of the NorthEastern Mexico,TXHUB,,Juriquilla,1965,2003-08-28,
G,UNM,-99.178062,19.329662,GEOSCOPE,TXHUB,,Unam - Mexico,2280,1990-06-06,
AE,319A,-109.280899,31.3757,Arizona Broadband Seismic Network,TXHUB,,Douglas,1187,2011-12-01,
AM,R0F1A,-95.576,29.5978,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,27,2016-11-01,
AM,R349C,-101.9118,33.5954,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),985,2017-01-01,
AM,R3913,-98.4261,29.5843,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),256,2017-01-01,
AM,R7489,-95.5868,30.1825,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),67,2017-01-01,
AM,R7783,-97.8306,30.4717,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),297,2017-01-01,
AM,R7813,-96.5851,33.0413,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,167,2017-01-01,
AM,R9B84,-95.6986,29.9144,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,46,2016-11-01,
AM,R9EE9,-96.7944,32.8533,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,178,2016-11-01,
AM,RC421,-96.2945,30.6466,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,88,2016-11-01,
AM,REA98,-95.3852,29.81,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,18,2016-11-01,
AM,RFAE6,-97.1323,32.2972,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,199,2016-11-01,
AM,RFFB7,-97.1041,33.221,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),199,2017-01-01,
2T,EF51,-98.4979,28.7897,University of Texas,TXHUB,,"Christine, TX",98.3,2018-12-17,
2T,EF52,-98.20175,28.84362,University of Texas,TXHUB,,"Cambellton, TX",115,2019-04-26,
2T,EF53,-97.8044,29.0551,University of Texas,TXHUB,,"Gillett, TX",98.1,2018-12-20,
2T,EF54,-97.6301,29.1577,University of Texas,TXHUB,,"Nixon, TX",122.4,2018-11-15,
2T,EF55,-97.4153,29.2628,University of Texas,TXHUB,,"Cheapside, TX",112.6,2019-04-18,
2T,EF56,-97.1894,29.5828,University of Texas,TXHUB,,Moulton,127.8,2018-09-26,
2T,EF58,-98.723,28.8365,University of Texas,TXHUB,,"Charlotte, TX",137,2018-11-16,
2T,EF59,-98.4191,28.9501,University of Texas,TXHUB,,"Coughran, TX",98.1,2018-11-08,
2T,EF61,-97.9834,29.1253,University of Texas,TXHUB,,"Poth, TX",97.1,2018-12-20,
