#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
ZW|AZLE||LHE|32.982395|-97.786163|381.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2015-02-10T00:00:00|2015-06-24T23:59:59
ZW|AZLE||LHN|32.982395|-97.786163|381.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2015-02-10T00:00:00|2015-06-24T23:59:59
ZW|AZLE||LHZ|32.982395|-97.786163|381.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.12379E8|0.07|M/S|1.0|2015-02-10T00:00:00|2015-06-24T23:59:59
ZW|AZLE||LME|32.982395|-97.786163|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-11T00:00:00|2015-02-09T23:59:59
ZW|AZLE||LMN|32.982395|-97.786163|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-11T00:00:00|2015-02-09T23:59:59
ZW|AZLE||LMZ|32.982395|-97.786163|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-11T00:00:00|2015-02-09T23:59:59
ZW|AZLE||LOG|32.982395|-97.786163|381.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZLE||MHE|32.982399|-97.786201|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-11T00:00:00|2015-12-31T23:59:59
ZW|AZLE||MHN|32.982399|-97.786201|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-11T00:00:00|2015-12-31T23:59:59
ZW|AZLE||MHZ|32.982399|-97.786201|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-11T00:00:00|2015-12-31T23:59:59
ZW|AZLE||MME|32.982399|-97.786201|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|6.30352E9|0.03|M/S|4.0|2014-01-11T00:00:00|2015-12-31T23:59:59
ZW|AZLE||MMN|32.982399|-97.786201|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|6.30352E9|0.03|M/S|4.0|2014-01-11T00:00:00|2015-12-31T23:59:59
ZW|AZLE||MMZ|32.982399|-97.786201|381.0|0.0|0.0|90.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|6.30352E9|0.03|M/S|4.0|2014-01-11T00:00:00|2015-12-31T23:59:59
ZW|AZLE||VM1|32.982395|-97.786163|381.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZLE||VM2|32.982395|-97.786163|381.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZLE||VM3|32.982395|-97.786163|381.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZLE|00|EHE|32.982395|-97.786163|381.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZLE|00|EHN|32.982395|-97.786163|381.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZLE|00|EHZ|32.982395|-97.786163|381.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZVM||LOG|33.0313|-97.5488|208.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2018-07-02T19:30:08|2019-12-24T08:13:00
ZW|AZVM|01|EH1|33.0313|-97.5488|208.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2018-07-02T19:30:08|2019-12-24T08:13:00
ZW|AZVM|01|EH2|33.0313|-97.5488|208.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2018-07-02T19:30:08|2019-12-24T08:13:00
ZW|AZVM|01|EHE|33.0313|-97.548798|208.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|1.83465E7|8.0|M/S|100.0|2018-07-02T19:30:08|2018-12-31T23:59:59
ZW|AZVM|01|EHN|33.0313|-97.548798|208.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|1.83465E7|8.0|M/S|100.0|2018-07-02T19:30:08|2018-12-31T23:59:59
ZW|AZVM|01|EHZ|33.0313|-97.5488|208.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2018-07-02T19:30:08|2019-12-24T08:13:00
ZW|AZWP||HHE|32.779499|-97.660004|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-15T00:00:00|2016-12-31T23:59:59
ZW|AZWP||HHN|32.779499|-97.660004|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-15T00:00:00|2016-12-31T23:59:59
ZW|AZWP||HHZ|32.779499|-97.660004|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-15T00:00:00|2016-12-31T23:59:59
ZW|AZWP||MHE|32.779499|-97.660004|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-15T00:00:00|2015-12-31T23:59:59
ZW|AZWP||MHN|32.779499|-97.660004|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-15T00:00:00|2015-12-31T23:59:59
ZW|AZWP||MHZ|32.779499|-97.660004|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-15T00:00:00|2015-12-31T23:59:59
ZW|AZWP||MME|32.779499|-97.660004|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-15T00:00:00|2016-12-31T23:59:59
ZW|AZWP||MMN|32.779499|-97.660004|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-15T00:00:00|2016-12-31T23:59:59
ZW|AZWP||MMZ|32.779499|-97.660004|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-15T00:00:00|2016-12-31T23:59:59
ZW|AZWR||HHE|32.811501|-98.311996|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-27T00:00:00|2017-12-31T23:59:59
ZW|AZWR||HHN|32.811501|-98.311996|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-27T00:00:00|2017-12-31T23:59:59
ZW|AZWR||HHZ|32.811501|-98.311996|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-27T00:00:00|2017-12-31T23:59:59
ZW|AZWR||MME|32.811501|-98.311996|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-27T00:00:00|2017-12-31T23:59:59
ZW|AZWR||MMN|32.811501|-98.311996|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-27T00:00:00|2017-12-31T23:59:59
ZW|AZWR||MMZ|32.811501|-98.311996|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-27T00:00:00|2017-12-31T23:59:59
