EventID,Origin Date,Origin Time,Latitude (WGS84),Longitude (WGS84),Depth,RMS,Magnitude,phases,evaluation mode,author,status,event_type,min_sta_dist,GAP,depth_uncertainty,latitude_uncertainty,longitude_uncertainty,
texnet2017imqh,5/1/2017,18:08:45,31.28540039,-101.751709,26.3133138,0.51,0.741791516,14,manual,Bissett,final,quarry blast,72.01361994,85.55883918,12.37221016,2.286870303,2.683795447,
texnet2017imqk,5/1/2017,18:12:49,30.9576416,-99.12780762,0.048909505,0.93,1.168690036,19,manual,Bissett,final,quarry blast,36.81027295,88.19457455,1.677297271,2.706141452,2.253824014,
texnet2017imvq,5/1/2017,20:50:50,30.96496582,-99.13879395,0.048909505,0.93,1.22627612,29,manual,Bissett,final,quarry blast,36.3917958,87.53521936,1.80645306,1.860042362,1.887980716,
texnet2017iqfo,5/3/2017,17:16:12,29.68322754,-98.31481934,3.47257487,0.67,1.152528959,10,manual,Bissett,final,quarry blast,95.09770275,122.1314389,6.497648415,2.439427023,3.528705518,
texnet2017isbx,5/4/2017,17:43:09,33.53668213,-101.6043091,0.024454753,0.72,1.945349061,26,manual,Bissett,final,quarry blast,53.26806888,64.67764492,1.327974232,1.691628225,1.866809308,
texnet2017itze,5/5/2017,18:35:45,33.28033447,-97.77008057,3.839396159,0.53,1.982528232,22,manual,Bissett,final,quarry blast,38.41437772,64.04806701,2.540851246,1.180541413,1.513917433,
texnet2017iuex,5/5/2017,21:29:27,33.33526611,-97.82867432,1.540649414,0.39,2.179222391,17,manual,Bissett,final,quarry blast,39.62368249,89.93458331,4.77561195,1.093958578,1.051871319,
texnet2017jbcu,5/9/2017,16:22:00,33.25378418,-97.67028809,16.77596029,0.68,2.187470388,23,manual,Bissett,final,quarry blast,33.05027866,60.29918732,2.660870285,1.384111783,2.058795195,
texnet2017jddz,5/10/2017,19:14:21,33.25836182,-97.784729,9.806355794,0.75,1.764455089,15,manual,Bissett,final,quarry blast,35.73998837,109.4729342,2.815231255,1.90335682,1.38915652,
texnet2017jesr,5/11/2017,15:48:14,29.51843262,-98.81286621,9.537353516,0.83,1.805282501,16,manual,Bissett,final,quarry blast,45.35936848,77.97441051,4.651348912,2.397467975,2.788691512,
texnet2017jfbw,5/11/2017,20:27:19,33.25744629,-97.71057129,15.0152181,0.5,2.449132175,20,manual,Bissett,final,quarry blast,34.8079999,61.50038363,3.229181772,1.922209473,2.137187359,
texnet2017jgtf,5/12/2017,18:20:26,30.9173584,-99.17907715,0.440185547,0.45,1.641834615,13,manual,Bissett,final,quarry blast,42.74052016,88.43755642,2.385905941,1.657291719,2.054101588,
texnet2017jrua,5/18/2017,19:15:44,30.62713623,-98.29742432,0.024454753,0.58,1.431925224,17,manual,Bissett,final,quarry blast,70.37996466,90.82774097,1.861188598,1.643390069,1.239968099,
