EventID,Evaluation Status,Origin Date,Origin Time,Local Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Minimum Station Distance (km),Last Updated
texnet2024szdl,final,2024-09-26,21:44:37,1.6,,32.1158,0.4,-102.1750,0.3,6.4,7.3,0.7,0.1,27,14,TXNet,earthquake,Western Texas,,,,,,,,,,165.7999690469864,1.7250198029085018,2024-09-27 12:43:36
texnet2024szbh,final,2024-09-26,20:33:56,2.0,,31.6096,0.3,-104.1925,0.2,6.1,7.2,0.5,0.1,59,36,TXNet,earthquake,Western Texas,,,,,,,,,,40.782664347744316,7.224843374155657,2024-09-27 12:37:49
texnet2024syza,final,2024-09-26,19:12:51,1.7,,31.6135,0.2,-103.9862,0.2,7.4,8.4,0.3,0.1,41,25,TXNet,earthquake,Western Texas,,,,,,,,,,23.810187352115967,1.6714519501096714,2024-09-26 19:38:02
texnet2024syro,final,2024-09-26,15:31:53,1.9,,31.6629,0.7,-104.3821,0.5,7.7,8.9,1.0,0.2,16,12,TXNet,earthquake,Western Texas,,,,,,,,,,16.048890268814816,4.785070976296592,2024-09-27 08:48:59
texnet2024sypg,final,2024-09-26,14:18:04,1.8,,32.0078,0.2,-101.7420,0.3,7.6,8.4,0.9,0.1,28,21,TXNet,earthquake,Western Texas,,,,,,,,,,35.70762572525623,6.392928015241585,2024-09-26 20:03:50
texnet2024syox,final,2024-09-26,14:06:57,2.2,,31.6687,0.5,-104.3782,0.3,6.6,7.8,0.7,0.1,37,27,TXNet,earthquake,Western Texas,,,,,,,,,,37.27888790308719,5.289675136613528,2024-09-26 19:54:01
texnet2024symz,final,2024-09-26,13:19:12,1.4,,31.5647,0.3,-104.0856,0.3,6.1,7.1,0.5,0.2,44,25,TXNet,earthquake,Western Texas,,,,,,,,,,38.05764187076817,2.51149883536518,2024-09-27 16:59:25
texnet2024syex,final,2024-09-26,09:22:12,1.9,,31.6575,0.6,-104.4392,0.5,6.1,7.3,0.7,0.3,38,22,TXNet,earthquake,Western Texas,,,,,,,,,,89.44611640318654,0.6898055402784485,2024-09-26 09:52:12
texnet2024sydy,final,2024-09-26,08:54:14,1.5,,28.8753,1.4,-98.0944,1.3,9.9,10.0,3.4,0.4,29,17,TXNet,earthquake,Southern Texas,,,,,,,,,,67.31568626761437,13.664711634591221,2024-09-26 09:41:36
texnet2024sycz,final,2024-09-26,08:22:16,1.5,,28.8785,0.6,-98.1407,0.7,9.9,10.1,2.0,0.2,14,12,TXNet,earthquake,Southern Texas,,,,,,,,,,31.422587871741918,16.725282015891672,2024-09-27 17:53:27
texnet2024sycx,final,2024-09-26,08:17:36,1.4,,31.5588,0.3,-104.0929,0.3,6.1,7.2,0.4,0.2,54,30,TXNet,earthquake,Western Texas,,,,,,,,,,123.17950290424614,3.45567359384488,2024-09-26 10:12:17
texnet2024sycn,final,2024-09-26,07:58:17,2.1,,31.5675,0.3,-104.1002,0.3,6.0,7.0,0.3,0.1,46,28,TXNet,earthquake,Western Texas,,,,,,,,,,35.81403069109314,2.699834073688111,2024-09-26 10:30:15
texnet2024sycb,final,2024-09-26,07:56:50,3.8,,31.5596,0.4,-104.1017,0.3,6.7,7.8,0.5,0.1,54,42,TXNet,earthquake,Western Texas,,,,,,,,,,49.40026406340946,3.086408634746741,2024-09-26 08:14:43
texnet2024sybz,final,2024-09-26,07:55:00,1.9,,28.8876,0.6,-98.1077,0.5,6.7,6.8,2.7,0.4,26,24,TXNet,earthquake,Southern Texas,,,,,,,,,,47.32005851705046,13.797004711801968,2024-09-26 21:16:24
texnet2024sybw,final,2024-09-26,07:50:56,2.4,,28.9215,0.6,-98.2121,0.6,0.0,0.1,2.2,0.3,38,28,TXNet,earthquake,Southern Texas,,,,,,,,,,85.25639591015671,20.114825925270846,2024-09-26 11:21:57
texnet2024sxwe,final,2024-09-26,04:55:30,1.9,,31.6651,0.3,-104.3411,0.3,6.3,7.4,0.6,0.2,49,28,TXNet,earthquake,Western Texas,,,,,,,,,,55.67983282372078,7.257900272232401,2024-09-26 12:39:49
texnet2024sxvp,final,2024-09-26,04:36:26,2.0,,31.6570,0.6,-104.4467,0.5,6.3,7.5,0.7,0.2,43,29,TXNet,earthquake,Western Texas,,,,,,,,,,88.73685526021238,1.391172673312159,2024-09-26 10:42:46
texnet2024sxse,final,2024-09-26,02:51:12,1.7,,32.1085,0.4,-101.0603,0.5,5.2,5.9,2.3,0.1,32,19,TXNet,earthquake,Western Texas,,,,,,,,,,109.25128324175122,22.460577831862413,2024-09-26 13:47:20
texnet2024sxrb,final,2024-09-26,02:22:07,3.7,,31.5578,0.4,-104.0930,0.3,6.3,7.3,0.5,0.1,46,36,TXNet,earthquake,Western Texas,,,,,,,,,,120.78982737802934,3.553859025998873,2024-09-26 02:34:14
texnet2024sxlo,final,2024-09-25,23:37:20,1.3,,32.2769,0.2,-101.9263,0.2,8.3,9.2,0.4,0.1,61,35,TXNet,earthquake,Western Texas,,,,,,,,,,52.6525231103767,4.752009655672541,2024-09-26 12:12:03
texnet2024sxjp,final,2024-09-25,22:37:47,1.6,,31.6734,0.4,-104.3257,0.3,2.5,3.7,1.0,0.2,27,16,TXNet,earthquake,Western Texas,,,,,,,,,,36.34423486856229,5.765212142807648,2024-09-26 16:35:00
texnet2024sxja,final,2024-09-25,22:17:11,3.2,,31.6220,0.9,-103.9473,0.9,7.8,8.7,1.8,0.1,27,23,TXNet,earthquake,Western Texas,,,,,,,,,,15.418812861761579,2.3937420029108596,2024-09-25 22:42:12
texnet2024sxiw,final,2024-09-25,22:10:36,2.5,,31.6047,0.4,-103.9615,0.3,8.4,9.4,0.8,0.1,22,12,TXNet,earthquake,Western Texas,,,,,,,,,,12.43953575847736,4.906202563634216,2024-09-26 09:23:27
texnet2024sxfq,final,2024-09-25,20:30:16,1.6,,31.5795,0.3,-103.9361,0.3,6.1,7.1,0.6,0.1,38,21,TXNet,earthquake,Western Texas,,,,,,,,,,40.81617700348929,4.656509695436034,2024-09-26 11:16:26
texnet2024sxez,final,2024-09-25,20:11:06,1.6,,31.5778,0.3,-103.9355,0.2,6.2,7.2,0.5,0.1,31,17,TXNet,earthquake,Western Texas,,,,,,,,,,133.23116865378685,4.843028645921371,2024-09-26 12:46:00
texnet2024sxde,final,2024-09-25,19:01:19,1.3,,28.9005,0.4,-98.0911,0.4,9.3,9.4,3.1,0.2,24,17,TXNet,earthquake,Southern Texas,,,,,,,,,,43.46148294931683,11.956862080044651,2024-09-26 20:08:46
texnet2024sxdd,final,2024-09-25,19:01:12,1.9,,31.6135,0.4,-104.0973,0.2,7.2,8.2,0.5,0.2,60,35,TXNet,earthquake,Western Texas,,,,,,,,,,58.20060413824004,3.73418218627787,2024-09-26 12:53:22
texnet2024sxdc,final,2024-09-25,19:00:58,1.4,,28.8400,1.1,-98.1180,0.8,9.1,9.2,4.1,0.1,12,10,TXNet,earthquake,Southern Texas,,,,,,,,,,26.752807475103502,15.295879098666617,2024-09-26 19:47:42
texnet2024sxcf,final,2024-09-25,18:37:02,1.6,,31.5794,0.2,-103.9382,0.2,6.1,7.1,0.5,0.1,35,20,TXNet,earthquake,Western Texas,,,,,,,,,,24.213924801167522,4.541768657407902,2024-09-26 13:19:28
texnet2024sxbp,final,2024-09-25,18:23:05,1.8,,31.5826,0.2,-103.9395,0.2,6.2,7.2,0.5,0.1,46,26,TXNet,earthquake,Western Texas,,,,,,,,,,41.14527818784827,4.186661276668403,2024-09-26 18:56:11
texnet2024sxax,final,2024-09-25,18:06:14,2.4,,31.5805,0.2,-103.9417,0.2,6.1,7.1,0.4,0.1,32,16,TXNet,earthquake,Western Texas,,,,,,,,,,132.9904357554916,4.235370979918785,2024-09-26 12:14:38
texnet2024sxar,final,2024-09-25,17:57:01,1.9,,31.5809,0.2,-103.9394,0.2,6.1,7.1,0.4,0.1,36,19,TXNet,earthquake,Western Texas,,,,,,,,,,40.954207497186836,4.340555418853626,2024-09-26 12:21:30
texnet2024sxam,final,2024-09-25,17:49:52,2.2,,32.1469,0.9,-101.0646,0.9,9.3,10.0,2.4,0.2,61,33,TXNet,earthquake,Western Texas,,,,,,,,,,217.53285178917483,25.095390203513233,2024-09-26 18:37:17
texnet2024sxag,final,2024-09-25,17:45:10,1.6,,31.5817,0.3,-103.9425,0.3,6.6,7.6,0.7,0.1,40,20,TXNet,earthquake,Western Texas,,,,,,,,,,41.03121458989679,4.08729895248171,2024-09-26 17:52:03
texnet2024sxae,final,2024-09-25,17:42:48,1.5,,31.5824,0.2,-103.9382,0.2,6.1,7.1,0.3,0.1,43,26,TXNet,earthquake,Western Texas,,,,,,,,,,47.53168220605419,4.2909121492386895,2024-09-26 13:42:42
texnet2024swzt,final,2024-09-25,17:33:35,1.9,,31.5814,0.2,-103.9406,0.2,6.2,7.2,0.4,0.1,44,24,TXNet,earthquake,Western Texas,,,,,,,,,,41.01297516392644,4.218176894677657,2024-09-26 13:30:36
texnet2024swzq,final,2024-09-25,17:29:44,2.2,,31.5819,0.2,-103.9395,0.2,6.2,7.2,0.4,0.1,58,33,TXNet,earthquake,Western Texas,,,,,,,,,,54.06943060772613,4.24451394962712,2024-09-26 13:59:13
texnet2024swzo,final,2024-09-25,17:27:14,1.7,,31.5833,0.2,-103.9390,0.2,5.5,6.5,0.5,0.1,28,17,TXNet,earthquake,Western Texas,,,,,,,,,,35.543624769534055,5.972908124859652,2024-09-26 13:24:13
texnet2024swzn,final,2024-09-25,17:25:13,2.5,,31.5781,0.4,-103.9388,0.3,6.8,7.8,0.7,0.1,29,16,TXNet,earthquake,Western Texas,,,,,,,,,,133.0156401075926,4.611545370091065,2024-09-26 10:06:03
texnet2024swzj,final,2024-09-25,17:21:48,1.5,,31.5842,0.3,-103.9411,0.3,5.4,6.3,0.8,0.1,35,24,TXNet,earthquake,Western Texas,,,,,,,,,,35.31682231983108,3.9511663821472385,2024-10-02 19:44:57
texnet2024swzi,final,2024-09-25,17:20:12,1.6,,31.5826,0.2,-103.9417,0.2,6.1,7.1,0.4,0.1,30,16,TXNet,earthquake,Western Texas,,,,,,,,,,133.14213555977096,4.054594054866268,2024-09-26 12:03:46
texnet2024swyt,final,2024-09-25,17:06:08,2.2,,31.5836,0.2,-103.9415,0.2,6.2,7.2,0.5,0.1,34,20,TXNet,earthquake,Western Texas,,,,,,,,,,41.25203124328709,5.971182623915432,2024-09-26 12:26:53
texnet2024swyp,final,2024-09-25,17:02:07,2.2,,31.5840,0.2,-103.9425,0.2,5.7,6.6,0.4,0.1,34,19,TXNet,earthquake,Western Texas,,,,,,,,,,24.819570121353554,3.887524250363122,2024-09-26 12:33:16
texnet2024swuy,final,2024-09-25,15:13:15,1.7,,32.2357,0.3,-101.9295,0.4,6.2,7.1,0.6,0.1,31,23,TXNet,earthquake,Western Texas,,,,,,,,,,22.00883182108026,3.8050493793747924,2024-09-26 14:45:16
texnet2024swtz,final,2024-09-25,14:44:13,1.6,,31.4995,0.5,-104.0178,0.6,5.5,6.5,0.7,0.2,43,24,TXNet,earthquake,Western Texas,,,,,,,,,,49.521831556844866,5.234550126798735,2024-09-26 13:35:50
texnet2024swtt,final,2024-09-25,14:37:02,1.7,,31.9682,0.3,-104.0207,0.3,7.6,8.5,0.5,0.1,33,22,TXNet,earthquake,Western Texas,,,,,,,,,,32.35891683271942,3.8480333737517793,2024-09-26 14:22:45
texnet2024swrg,final,2024-09-25,13:22:21,2.2,,31.8887,0.4,-101.7248,0.4,7.2,7.9,1.0,0.1,35,28,TXNet,earthquake,Western Texas,,,,,,,,,,42.734411558516015,5.192037495087051,2024-09-25 14:13:00
texnet2024swlh,final,2024-09-25,10:20:04,2.1,,31.5955,0.3,-104.1125,0.3,7.2,8.3,0.5,0.2,80,42,TXNet,earthquake,Western Texas,,,,,,,,,,113.10939149827603,2.3041309281353386,2024-09-25 12:24:15
texnet2024swkf,final,2024-09-25,09:48:09,2.5,,31.6657,0.5,-104.3752,0.3,6.6,7.8,0.9,0.2,34,22,TXNet,earthquake,Western Texas,,,,,,,,,,33.75002411557509,5.490115377114076,2024-09-25 12:05:16
texnet2024swjm,final,2024-09-25,09:23:40,1.6,,28.5141,1.7,-98.4654,1.4,8.8,8.8,3.4,0.3,23,18,TXNet,earthquake,Southern Texas,,,,,,,,,,64.96786096872323,9.41214279654202,2024-09-25 12:55:58
texnet2024swit,final,2024-09-25,09:04:04,1.1,,32.4289,0.4,-102.1085,0.3,7.1,8.0,0.7,0.1,44,23,TXNet,earthquake,Western Texas,,,,,,,,,,182.11247303156043,2.3458125745507887,2024-09-26 17:24:04
texnet2024swgh,final,2024-09-25,07:47:52,1.7,,31.6122,0.4,-104.1879,0.3,8.2,9.3,0.8,0.1,24,18,TXNet,earthquake,Western Texas,,,,,,,,,,20.959534801037336,6.995739225144587,2024-09-25 12:47:45
texnet2024swec,final,2024-09-25,06:43:01,1.8,,32.4142,0.3,-102.0442,0.2,8.4,9.2,0.6,0.1,54,29,TXNet,earthquake,Western Texas,,,,,,,,,,41.83368233538952,6.307420036638865,2024-09-25 12:24:55
texnet2024svyj,final,2024-09-25,03:48:37,1.3,,31.6183,0.8,-104.5130,0.6,8.2,9.5,0.8,0.2,29,18,TXNet,earthquake,Western Texas,,,,,,,,,,102.41486774999505,5.713751290591825,2024-09-25 13:09:20
texnet2024svyg,final,2024-09-25,03:44:32,1.7,,31.6874,0.4,-104.3549,0.3,7.0,8.1,0.8,0.2,50,29,TXNet,earthquake,Western Texas,,,,,,,,,,86.6430765530993,8.092109886157912,2024-09-25 08:22:13
texnet2024svwj,final,2024-09-25,02:47:41,1.6,,31.6248,0.5,-104.5083,0.5,7.9,9.3,0.6,0.2,33,19,TXNet,earthquake,Western Texas,,,,,,,,,,46.81113083568877,4.925478395826964,2024-09-25 13:06:47
texnet2024svva,final,2024-09-25,02:07:10,1.4,,32.2934,0.3,-102.1536,0.3,7.9,8.8,1.5,0.1,27,21,TXNet,earthquake,Western Texas,,,,,,,,,,33.87081165347148,8.092123890350187,2024-09-25 12:59:41
texnet2024svry,final,2024-09-25,00:34:51,1.6,,32.7658,0.4,-100.6380,0.4,7.0,7.7,1.0,0.1,17,9,TXNet,earthquake,Western Texas,,,,,,,,,,113.87395071081374,6.500944868901771,2024-09-25 13:13:01
texnet2024svom,final,2024-09-24,22:49:23,2.3,,31.6102,0.3,-103.9251,0.2,7.8,8.7,0.4,0.1,29,15,TXNet,earthquake,Western Texas,,,,,,,,,,27.248252230313852,3.6379000350721276,2024-09-25 11:56:36
texnet2024svme,final,2024-09-24,21:36:10,1.5,,31.6117,0.5,-103.9287,0.5,8.5,9.4,0.7,0.2,23,17,TXNet,earthquake,Western Texas,,,,,,,,,,14.639757895334633,3.410620375801936,2024-09-25 08:48:43
texnet2024svll,final,2024-09-24,21:14:42,1.8,,31.6600,1.1,-104.4351,0.6,6.0,7.3,1.4,0.3,38,20,TXNet,earthquake,Western Texas,,,,,,,,,,110.43444021867492,0.5185170952460794,2024-09-25 07:54:22
texnet2024svfn,final,2024-09-24,17:57:37,1.9,,31.6654,0.6,-104.5544,0.7,6.1,7.5,0.6,0.2,35,21,TXNet,earthquake,Western Texas,,,,,,,,,,75.79300106844013,5.095836559159224,2024-09-25 12:55:56
texnet2024suwa,final,2024-09-24,13:27:09,1.8,,32.3969,0.3,-102.0067,0.3,8.2,9.0,0.8,0.1,29,21,TXNet,earthquake,Western Texas,,,,,,,,,,27.66584699308045,8.396464515455582,2024-09-24 14:20:16
texnet2024susm,final,2024-09-24,11:40:42,2.2,,31.6740,0.4,-104.3763,0.3,6.7,7.8,0.7,0.2,49,26,TXNet,earthquake,Western Texas,,,,,,,,,,64.88890753569754,5.636747038508108,2024-09-24 12:06:24
texnet2024suqn,final,2024-09-24,10:42:32,1.3,,32.4115,0.5,-102.0582,0.2,8.1,8.9,0.6,0.1,37,23,TXNet,earthquake,Western Texas,,,,,,,,,,103.67244526891446,4.976000639048618,2024-09-24 12:13:18
texnet2024supo,final,2024-09-24,10:13:47,1.7,,31.6788,0.8,-104.3836,0.4,8.0,9.2,1.1,0.2,22,15,TXNet,earthquake,Western Texas,,,,,,,,,,26.88119152810196,5.22776211932547,2024-09-24 12:24:34
texnet2024supb,final,2024-09-24,09:56:28,1.8,,31.6698,0.5,-104.3774,0.3,7.3,8.5,0.8,0.3,51,28,TXNet,earthquake,Western Texas,,,,,,,,,,58.78907220396665,5.397284823008073,2024-09-24 12:18:33
texnet2024supa,final,2024-09-24,09:55:48,1.1,,31.6705,0.9,-104.3825,0.4,8.0,9.2,1.4,0.3,27,14,TXNet,earthquake,Western Texas,,,,,,,,,,113.89953182564417,7.805604761996351,2024-09-24 13:05:26
texnet2024suis,final,2024-09-24,06:45:48,2.8,,31.5628,0.6,-104.1076,0.4,7.2,8.3,0.7,0.2,31,24,TXNet,earthquake,Western Texas,,,,,,,,,,40.96123513189156,2.433355938020005,2024-09-24 09:23:05
texnet2024stzp,final,2024-09-24,02:09:57,1.8,,28.8565,0.5,-98.1014,0.5,7.8,7.9,2.5,0.2,20,20,TXNet,earthquake,Southern Texas,,,,,,,,,,38.475195040540605,15.064014730073144,2024-09-24 11:34:14
texnet2024stzb,final,2024-09-24,01:53:38,1.6,,28.8492,0.9,-98.1056,0.8,1.7,1.9,2.3,0.2,16,16,TXNet,earthquake,Southern Texas,,,,,,,,,,32.517643348500044,14.86777164328571,2024-09-24 14:35:32
texnet2024stvn,final,2024-09-24,00:06:39,1.2,,32.3611,0.5,-102.1814,0.5,7.7,8.6,0.7,0.1,19,12,TXNet,earthquake,Western Texas,,,,,,,,,,42.20138256418038,3.9118239740012406,2024-09-24 14:18:05
texnet2024stud,final,2024-09-23,23:22:31,2.1,,31.6537,0.6,-104.4547,0.5,6.1,7.4,0.6,0.2,38,24,TXNet,earthquake,Western Texas,,,,,,,,,,41.58566428628252,2.1686715624282473,2024-09-24 13:02:19
texnet2024sttx,final,2024-09-23,23:18:38,2.4,,31.6574,0.6,-104.4505,0.4,6.1,7.4,0.6,0.2,45,27,TXNet,earthquake,Western Texas,,,,,,,,,,59.45856858016288,1.7510503079078092,2024-09-24 11:11:57
texnet2024strz,final,2024-09-23,22:19:13,1.5,,28.8483,1.2,-98.1128,0.9,5.2,5.4,3.2,0.2,10,10,TXNet,earthquake,Southern Texas,,,,,,,,,,32.343560384465576,15.377102202915399,2024-09-24 14:51:43
texnet2024strv,final,2024-09-23,22:13:45,3.4,,28.8657,0.4,-98.1056,0.6,2.8,2.9,2.3,0.1,19,15,TXNet,earthquake,Southern Texas,,,,,,,,,,32.836965254196,15.178401141711246,2024-09-23 22:39:24
texnet2024stjo,final,2024-09-23,17:56:43,1.0,,32.2980,0.6,-101.6166,0.4,5.0,5.8,0.9,0.2,29,17,TXNet,earthquake,Western Texas,,,,,,,,,,20.60743604566065,3.0071735620873685,2024-09-24 20:36:14
texnet2024stdv,final,2024-09-23,15:09:54,1.7,,28.8400,0.8,-98.1097,0.7,5.0,5.1,2.6,0.2,16,16,TXNet,earthquake,Southern Texas,,,,,,,,,,36.5057736226302,14.61341500266599,2024-09-24 14:44:20
texnet2024stcg,final,2024-09-23,14:21:41,2.3,,28.8583,0.6,-98.1449,0.6,8.2,8.4,2.7,0.1,16,16,TXNet,earthquake,Southern Texas,,,,,,,,,,28.577526775940147,18.59476730125423,2024-09-24 13:04:57
texnet2024stag,final,2024-09-23,13:17:21,2.0,,32.7402,0.5,-100.6723,0.5,6.5,7.2,1.9,0.1,23,16,TXNet,earthquake,Western Texas,,,,,,,,,,97.18655102241173,9.75921184330034,2024-09-23 21:31:14
texnet2024sszo,final,2024-09-23,13:00:47,1.6,,28.8354,0.8,-98.0818,0.7,5.3,5.4,2.4,0.3,19,16,TXNet,earthquake,Southern Texas,,,,,,,,,,35.22525659182356,12.100414904410371,2024-09-23 18:38:16
texnet2024sszh,final,2024-09-23,12:51:57,1.1,,31.7770,0.5,-101.9906,0.4,9.4,10.3,1.6,0.1,24,16,TXNet,earthquake,Western Texas,,,,,,,,,,53.86732738995252,11.018616827886097,2024-09-23 20:44:20
texnet2024ssyf,final,2024-09-23,12:12:45,1.1,,32.4161,0.5,-102.0700,0.5,8.4,9.2,0.9,0.2,42,24,TXNet,earthquake,Western Texas,,,,,,,,,,116.86777145177113,3.9588002077338578,2024-09-24 20:23:27
texnet2024ssvk,final,2024-09-23,10:53:21,1.2,,32.4088,0.4,-102.0657,0.4,7.3,8.2,1.0,0.1,28,19,TXNet,earthquake,Western Texas,,,,,,,,,,57.93801557031947,4.256671588917158,2024-09-23 14:43:39
texnet2024ssuq,final,2024-09-23,10:29:02,1.2,,31.9382,0.3,-102.0207,0.2,8.6,9.4,0.8,0.1,25,17,TXNet,earthquake,Western Texas,,,,,,,,,,32.025274461763715,9.497759499424296,2024-09-23 17:39:27
texnet2024ssub,final,2024-09-23,10:14:15,2.9,,32.4216,0.3,-102.0678,0.3,8.5,9.3,0.5,0.1,47,26,TXNet,earthquake,Western Texas,,,,,,,,,,39.91334631124263,4.329674013847058,2024-09-23 12:43:08
texnet2024ssof,final,2024-09-23,07:15:50,1.6,,31.6064,0.4,-104.3037,0.4,7.6,8.8,0.9,0.2,48,27,TXNet,earthquake,Western Texas,,,,,,,,,,49.070350552165564,8.135010516189155,2024-09-23 12:02:50
texnet2024ssnc,final,2024-09-23,06:43:05,2.1,,31.6625,0.6,-104.3692,0.4,7.6,8.8,1.1,0.2,35,18,TXNet,earthquake,Western Texas,,,,,,,,,,113.78125832649768,5.992397141311893,2024-09-23 12:09:20
texnet2024ssmp,final,2024-09-23,06:27:39,1.6,,31.2108,0.8,-103.5246,0.6,7.4,8.2,2.8,0.1,12,11,TXNet,earthquake,Western Texas,,,,,,,,,,18.78369200823486,10.28733012538836,2024-09-23 15:13:24
texnet2024sshx,final,2024-09-23,04:05:50,1.3,,31.7120,0.5,-101.7152,0.5,8.3,9.2,1.1,0.1,27,18,TXNet,earthquake,Western Texas,,,,,,,,,,65.52719513160115,10.147211883802422,2024-09-23 17:47:57
texnet2024ssht,final,2024-09-23,03:59:28,1.5,,31.4213,0.3,-103.7825,0.4,7.2,8.1,2.4,0.1,20,11,TXNet,earthquake,Western Texas,,,,,,,,,,28.525470323507967,9.818171764696945,2024-09-23 10:22:41
texnet2024ssgv,final,2024-09-23,03:32:21,1.5,,31.6174,0.7,-104.5103,0.5,8.3,9.6,0.8,0.2,31,19,TXNet,earthquake,Western Texas,,,,,,,,,,102.16716149708566,5.7661102356562735,2024-09-23 10:34:01
texnet2024ssdu,final,2024-09-23,02:00:17,1.7,,31.7807,0.3,-101.9928,0.2,8.8,9.6,0.7,0.1,36,23,TXNet,earthquake,Western Texas,,,,,,,,,,53.61882041876672,10.980272269321626,2024-09-23 14:57:21
texnet2024sscy,final,2024-09-23,01:31:10,1.1,,31.6214,0.6,-102.0871,0.7,7.3,8.1,1.3,0.1,14,9,TXNet,earthquake,Western Texas,,,,,,,,,,119.8935935202381,5.163737265744341,2024-09-23 18:40:29
texnet2024ssbx,final,2024-09-23,01:03:07,1.5,,32.2174,0.2,-101.9981,0.2,8.1,8.9,0.7,0.1,27,23,TXNet,earthquake,Western Texas,,,,,,,,,,21.530908748780448,8.209812970606674,2024-09-23 18:04:53
texnet2024ssbn,final,2024-09-23,00:49:50,2.0,,32.4124,0.2,-102.0657,0.2,8.7,9.5,0.5,0.1,45,31,TXNet,earthquake,Western Texas,,,,,,,,,,41.80957284884445,4.285035938163239,2024-09-23 13:17:36
texnet2024ssak,final,2024-09-23,00:17:21,2.6,,32.2220,0.2,-102.0035,0.2,7.7,8.6,1.0,0.1,56,43,TXNet,earthquake,Western Texas,,,,,,,,,,36.0432110088166,8.85029241629559,2024-09-23 13:03:15
texnet2024srzu,final,2024-09-22,23:58:56,1.9,,31.6285,0.7,-104.5083,0.7,7.9,9.3,0.6,0.3,38,21,TXNet,earthquake,Western Texas,,,,,,,,,,102.9399136262561,4.521405024789816,2024-09-23 10:44:31
texnet2024srxi,final,2024-09-22,22:42:46,1.9,,31.6266,0.8,-104.5099,0.6,7.7,9.1,0.7,0.3,45,26,TXNet,earthquake,Western Texas,,,,,,,,,,83.02843673099358,4.750064470609831,2024-09-23 11:05:32
texnet2024srtf,final,2024-09-22,20:39:26,2.1,,31.6515,0.5,-104.4412,0.4,6.6,7.8,0.6,0.2,46,31,TXNet,earthquake,Western Texas,,,,,,,,,,62.839547739952664,1.019057242146409,2024-09-23 11:43:09
texnet2024srpm,final,2024-09-22,18:43:50,2.2,,32.7631,0.4,-100.6734,0.4,8.9,9.6,1.1,0.1,25,18,TXNet,earthquake,Western Texas,,,,,,,,,,80.93850461302434,9.466526250642294,2024-09-23 21:59:50
texnet2024srmw,final,2024-09-22,17:27:38,1.3,,32.3676,0.4,-102.1868,0.4,8.3,9.1,0.8,0.1,18,12,TXNet,earthquake,Western Texas,,,,,,,,,,42.070505178382696,3.5146615642234553,2024-09-23 18:47:00
texnet2024srjb,final,2024-09-22,15:32:09,1.3,,32.4197,0.6,-102.0657,0.3,7.0,7.9,0.9,0.1,20,14,TXNet,earthquake,Western Texas,,,,,,,,,,32.824791182716545,4.454324208474385,2024-09-23 17:28:01
texnet2024srfe,final,2024-09-22,13:34:34,1.6,,31.6516,0.8,-104.4512,0.4,6.6,7.9,0.7,0.2,29,15,TXNet,earthquake,Western Texas,,,,,,,,,,108.89252048771941,1.8866016005766988,2024-09-23 12:23:41
texnet2024srae,final,2024-09-22,11:01:47,2.3,,32.1514,1.4,-101.0726,1.3,1.5,2.2,1.6,0.3,34,20,TXNet,earthquake,Western Texas,,,,,,,,,,218.62547105669975,26.76508459344506,2024-09-23 13:05:04
texnet2024sqxh,final,2024-09-22,09:35:16,1.9,,31.6464,0.7,-104.4455,0.4,6.9,8.2,0.7,0.2,32,20,TXNet,earthquake,Western Texas,,,,,,,,,,66.8688047042419,1.6794364021998958,2024-09-23 16:06:01
texnet2024sqvt,final,2024-09-22,08:48:13,3.4,,31.6559,0.5,-104.3966,0.3,5.8,7.0,0.7,0.1,34,26,TXNet,earthquake,Western Texas,,,,,,,,,,46.31458869692377,3.3555682433011915,2024-09-22 09:07:12
texnet2024sqrs,final,2024-09-22,06:34:24,1.1,,31.9373,0.3,-102.0174,0.2,9.1,9.9,0.9,0.1,50,27,TXNet,earthquake,Western Texas,,,,,,,,,,78.06141215753797,9.178671462617835,2024-09-24 20:08:28
texnet2024sqqd,final,2024-09-22,05:57:08,1.0,,31.9400,0.4,-102.0164,0.3,9.0,9.8,1.0,0.1,28,19,TXNet,earthquake,Western Texas,,,,,,,,,,40.996525591823314,9.160238824189294,2024-09-23 20:25:57
texnet2024sqnk,final,2024-09-22,04:33:55,1.5,,31.6545,0.9,-104.4741,0.7,5.5,6.8,0.7,0.2,39,28,TXNet,earthquake,Western Texas,,,,,,,,,,65.7211880835862,2.975423014013791,2024-09-23 17:55:59
texnet2024sqmp,final,2024-09-22,04:10:36,1.5,,32.1368,0.3,-102.2125,0.3,6.3,7.2,0.7,0.1,51,34,TXNet,earthquake,Western Texas,,,,,,,,,,45.552424143154056,4.367441958182624,2024-09-23 14:52:58
