EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2018mntd,final,2018-06-28,06:51:40,2.9,,31.4159,0.7,-103.4717,0.7,3.4,4.2,1.2,0.3,25,19,TXNet,earthquake,Western Texas,297,83,-38,33,52,-171,first motion,,,104.83419659428799,2019-05-24 18:13:55
texnet2018ldsu,final,2018-06-08,13:47:24,2.0,,32.8583,0.7,-100.9392,0.6,4.5,5.2,1.0,0.2,24,13,TXNet,earthquake,Western Texas,186,54,-145,73,63,-42,first motion,,,171.961613402985,2018-06-16 00:41:52
texnet2018kujq,final,2018-06-03,10:57:20,3.0,,31.1603,0.7,-103.2543,0.9,5.2,6.0,1.9,0.4,34,24,TXNet,earthquake,Western Texas,11,84,74,262,17,160,first motion,,,190.359404366985,2019-08-20 19:01:49
texnet2018jnvw,final,2018-05-16,15:38:48,2.3,,31.6690,0.7,-104.5073,0.6,1.5,2.8,1.2,0.3,37,24,TXNet,earthquake,Western Texas,120,10,-80,289,80,-92,first motion,,,191.65355215587,2018-05-16 18:53:16
texnet2018jgyp,final,2018-05-12,21:04:24,3.1,,31.2548,0.8,-103.7357,0.7,8.5,9.4,1.8,0.3,24,18,TXNet,earthquake,Western Texas,103,81,-161,10,72,-10,Moment Tensor,135.4157841,0.3841298306,121.004378382195,2020-05-28 20:58:42
texnet2018iptv,final,2018-05-03,11:20:29,2.7,,31.3321,0.7,-103.0697,0.7,6.1,6.8,2.1,0.4,37,22,TXNet,earthquake,Western Texas,175,62,-63,308,38,-131,first motion,,,207.728813710845,2019-08-27 20:00:10
texnet2018idob,final,2018-04-26,18:49:48,3.3,,28.9645,1.0,-98.0043,1.0,9.7,9.8,1.5,0.3,17,11,TXNet,earthquake,Southern Texas,69,41,-74,229,51,-103,Moment Tensor,174.1221315,0.3840318399,242.0317027422,2018-04-26 20:08:03
texnet2018idoc,final,2018-04-26,18:49:24,1.9,,29.0140,0.9,-97.9898,0.7,11.2,11.3,1.2,0.2,14,8,TXNet,earthquake,Central Texas,89,37,-53,225,61,-115,Moment Tensor,267.0284543,0.3803531002,200.617611470325,2018-04-26 21:45:58
texnet2018hilm,final,2018-04-15,05:38:56,2.2,,32.8372,0.7,-100.9681,0.7,6.5,7.2,1.3,0.2,25,14,TXNet,earthquake,Western Texas,187,41,-125,50,57,-63,first motion,,,126.26180163103498,2018-04-20 18:15:35
texnet2018gxgn,final,2018-04-09,02:37:46,2.8,,30.7364,0.9,-103.6623,0.8,6.5,7.7,1.8,0.4,27,18,TXNet,earthquake,Western Texas,122,81,-124,19,35,-16,first motion,,,171.65200059945,2019-05-24 17:25:10
texnet2018guyb,final,2018-04-07,20:05:21,2.8,,30.7318,0.8,-103.6570,0.7,9.0,10.3,1.6,0.3,27,17,TXNet,earthquake,Western Texas,108,60,-154,4,68,-33,first motion,,,176.85612408177,2019-05-24 17:24:06
texnet2018glzt,final,2018-04-02,22:43:45,2.8,,31.3532,0.8,-103.5203,0.8,4.4,5.2,1.7,0.3,23,17,TXNet,earthquake,Western Texas,200,38,76,38,54,101,first motion,,,125.53203963195,2019-05-24 17:22:35
texnet2018fngd,final,2018-03-20,09:33:03,1.7,,32.9544,0.6,-100.9102,0.7,7.7,8.5,1.2,0.2,24,13,TXNet,earthquake,Western Texas,349,69,-167,254,78,-22,first motion,,,124.09063530381,2018-07-04 20:52:05
texnet2018fjsm,final,2018-03-18,11:14:39,1.9,,32.8702,0.8,-100.9209,0.7,5.5,6.2,0.9,0.2,20,10,TXNet,earthquake,Western Texas,249,31,-45,19,69,-113,first motion,,,90.07210191010499,2019-07-31 03:14:57
texnet2018erzo,final,2018-03-08,18:21:31,2.0,,32.9114,0.7,-100.8684,0.7,5.4,6.1,1.1,0.1,21,11,TXNet,earthquake,Western Texas,95,77,23,359,67,166,first motion,,,113.53612432648498,2019-07-30 17:57:07
texnet2018dwze,final,2018-02-25,06:18:48,1.9,,32.9031,0.7,-100.8674,0.7,6.6,7.3,1.0,0.2,24,12,TXNet,earthquake,Western Texas,98,71,16,2,75,160,first motion,,,118.67858128570501,2018-03-09 22:03:16
