@publicID,preferredOriginID,region,date,magnitude,latitude,longitude,depth [km],latitude error [km],longitude error [km],depth error [km],minimum station distance [km],phase count,station count,mag_e,rms [s]
texnet2018yuep,smi:local/Origin/20221020160333.147732.45754,Western Texas,2018-12-19 13:54:09.678342,1.73721216,32.05450058,-102.25568390000001,3.102943897,3.955095291,4.813591003,5.689726353,0.2575330138,6.0,4.0,0.269857892,0.07713933927
texnet2020emkc,smi:local/Origin/20221020160141.286967.45793,Western Texas,2020-03-04 16:52:00.339562,1.7314675130000001,31.93169785,-102.31343840000001,5.18903017,5.887606621000001,3.047110796,10.07491589,0.08590593189,6.0,4.0,0.07806184777000001,0.08429892866000001
texnet2017xsiu,smi:local/Origin/20221020160101.731557.45756,Western Texas,2017-12-04 08:12:17.004371,1.726072526,32.00882721,-102.2884064,5.0,3.283104181,4.078528404,fixed,0.24761129920000002,7.0,5.0,0.4065161799,0.42253039
texnet2020rhqv,smi:local/Origin/20221020160212.773738.45753,Western Texas,2020-09-03 02:34:00.578258,1.717655238,31.97506523,-102.30399320000001,5.798884869,5.7144217489999996,5.606964111,8.626549721,0.026556778700000002,6.0,4.0,0.23538114850000003,0.04510163301
texnet2019eqpx,smi:local/Origin/20221020160450.077815.45782,Western Texas,2019-03-08 00:21:22.198522,1.717312797,32.14001846,-102.65769959999999,3.893989801,3.960689068,4.230905056,4.49712038,0.09423126279999999,6.0,5.0,0.1858505618,0.03936616814
texnet2020omzt,smi:local/Origin/20221020160335.403974.45840,Western Texas,2020-07-25 08:08:02.808999,1.715000361,32.10790253,-102.2222137,5.564610957999999,19.02955055,25.37449837,20.00395775,0.110077545,6.0,5.0,0.2939114853,0.031245453149999998
texnet2020rmbz,smi:local/Origin/20221020160403.966306.45779,Western Texas,2020-09-05 12:44:33.166068,1.7115669669999998,32.11104202,-102.1319199,4.749135494,9.898387909,4.040300846,6.24096632,0.1505111456,6.0,5.0,0.4158149339,0.02570023435
texnet2020qrzh,smi:local/Origin/20221020160422.917602.45767,Western Texas,2020-08-25 12:39:37.380761,1.7094192209999999,31.97088432,-102.3111801,6.39158535,5.674563407999999,5.488348007000001,8.854972839,0.01956551522,6.0,4.0,0.4269882754,0.05283071791999999
texnet2020ukqz,smi:local/Origin/20221020160155.659475.45778,Western Texas,2020-10-17 10:39:24.531463,1.7001749419999999,31.96943092,-102.30948640000001,6.818408966000001,5.2904362680000006,4.989780903,8.682268143,0.019252533090000003,6.0,4.0,0.36811357640000003,0.06214100128
texnet2018mayd,smi:local/Origin/20221020160204.596765.45761,Western Texas,2018-06-21 06:37:55.682861,1.70011564,32.02228928,-102.27346800000001,0.8762490748999999,2.978675127,3.869556427,3.957638979,0.2535386086,7.0,5.0,0.3463780198,0.35993083979999996
texnet2020oqsl,smi:local/Origin/20221020160302.312731.45771,Western Texas,2020-07-27 09:00:01.085304,1.699405329,31.9371891,-102.32450870000001,6.689673901,3.3061983589999997,4.700516223999999,7.763701439,0.016467195,6.0,4.0,0.4347124559,0.08107251977
texnet2020vcvb,smi:local/Origin/20221020160607.947329.45778,Western Texas,2020-10-27 09:10:20.281538,1.697387252,32.41226959,-101.5864716,4.957947254,3.358716965,5.390883923,6.462301254,0.31455129379999996,6.0,5.0,0.27121129190000004,0.043766183099999995
texnet2020fuji,smi:local/Origin/20221020160323.396932.45779,Western Texas,2020-03-23 07:06:36.834337,1.69690456,31.92061806,-102.3142166,4.227097511,5.687466621,2.894629002,4.981532097,0.095335491,6.0,4.0,0.34642367820000003,0.03684980525
texnet2020ogzm,smi:local/Origin/20221020160244.169963.45775,Western Texas,2020-07-22 01:11:08.653055,1.6956750180000002,31.93773842,-102.32528690000001,7.590251446,3.298550367,4.924503803,7.911790848,0.016758326440000002,6.0,4.0,0.2036895248,0.1053471558
texnet2020nqyz,smi:local/Origin/20221020160432.314235.45827,Western Texas,2020-07-13 06:45:18.789145,1.682604456,32.1194725,-102.1367645,4.547258854,9.806362152,4.100590229,6.371020317,0.1541008502,6.0,5.0,0.2629245174,0.009602345109
texnet2020qmjg,smi:local/Origin/20221020160452.580139.45769,Western Texas,2020-08-22 10:53:05.581623,1.678861375,31.97021103,-102.3134155,7.043558121,5.875567436,5.748851776,9.095252991,0.018000245090000002,6.0,4.0,0.49306022039999997,0.06755884322000001
texnet2018xdnr,smi:local/Origin/20221020160514.386867.45758,Western Texas,2018-11-26 05:38:21.982378,1.678795236,31.977315899999997,-102.3157272,5.075212479,4.0869054789999995,7.847745895,13.37067795,0.24402982,6.0,5.0,0.3268399774,0.1274594426
texnet2021jxhv,smi:local/Origin/20221020160349.877013.45746,Western Texas,2021-05-21 19:54:47.510274,1.678371078,32.40393829,-102.1344223,4.988337994,2.196172953,1.729380608,2.384183407,0.2738109231,10.0,7.0,0.5005647939,0.172302979
texnet2021obkk,smi:local/Origin/20221020160125.585754.45771,Western Texas,2021-07-19 23:53:08.332202,1.671151347,32.38659668,-101.6476669,3.730214357,4.185843468,3.3438761230000003,3.445548773,0.1533411592,7.0,6.0,0.17381737960000002,0.03363621023
